channel_id,tier,wd_item,wd_class,label,country,reason,alt_of
UC-3Vp3Qy14wylC9WK8F1zUA,0,Q7956030,television station,NewsChannel 9 WSYR Syracuse,United States,newsguard_validated,
UC-6OW5aJYBFM33zXQlBKPNA,0,,,Engadget,US,newsguard_validated,
UC-7qscJH_SncZvCm9Ty014Q,0,Q511397,mass media|television channel|television station,ServusTV On,AT,newsguard_validated,
UC-8_qAhNVG8G1wxONMnYr3Q,0,,,GZERO Media,US,newsguard_validated,
UC-8a74zfriBsymbiL-P-Uaw,0,,,Suffolk Now,GB,newsguard_validated,
UC-9pUIg89Z9BYNDAZaJe-bg,0,,,charlestoncitypaper,US,newsguard_validated,
UC-BK0umNP6ozZcPE60nEIsw,0,,,Conservative Post,GB,newsguard_validated,
UC-BSVXejMFhhml4V_VyoGxg,0,Q6327252,television station,KCRA 3,US,newsguard_validated,
UC-C-jqc7H3wmAT4MZ64uobA,0,,,Deeside.com,,newsguard_validated,
UC-E5ZuD7wEB2HLNKF_B90-Q,0,,,Radio Regenbogen,,newsguard_validated,
UC-ELXMsXaIIc40mD1-LNaZg,0,,,Te Ao News,NZ,newsguard_validated,
UC-FVhfqCwhzpJ4DTJOMMofA,0,,,Latinus_us,MX,newsguard_validated,
UC-G6Uf34BVr_N14PA6uJodg,0,,,WSAW NewsChannel 7,US,newsguard_validated,
UC-GECsIra5RwmzYapD_-pww,0,,,Presseportal Videos,,newsguard_validated,
UC-H-L8u8PzzgdAzBLrqU6PQ,0,,,WBFF FOX45 Baltimore,US,newsguard_validated,
UC-JSIhoXcKetaEeYOpvwcIQ,0,,,Salon,US,newsguard_validated,
UC-JblcinswY50lrUdSaRNEg,0,Q33511,magazine|mass media,Rolling Stone,US,newsguard_validated,
UC-JlxQDZn5hLzhGSbtSJjzw,0,,,Climate Home News,GB,newsguard_validated,
UC-LaL6VO2SpXpjPdQT668wg,0,,,Groupe Nice-Matin,,newsguard_validated,
UC-MCjIJ5Wo61YyzJjC7Mh7w,0,,,Orlando Sentinel,,newsguard_validated,
UC-MFWZ6WppyTGSixw-HHqSg,0,,,WFMJ,US,newsguard_validated,
UC-PfbmXWqUYO_UCKP08LKDA,0,,,Fatherly,US,newsguard_validated,
UC-RxXi2Xws6Uk22vp-sLbGA,0,,,WCNC,US,newsguard_validated,
UC-VTsJEc1B95nyFbbUJrGMg,0,,,environmentaldefence,CA,newsguard_validated,
UC-ZZYTNXNKGuA1rx2fd5w4A,0,,,NZ Fiji Times,NZ,newsguard_validated,
UC-a4RHg1oIzQ7CfAg42AncA,0,,,Catholics for Truth,US,newsguard_validated,
UC-agfgA5Ia5Z7aCUQy8b80A,0,,,News 11 Yuma,,newsguard_validated,
UC-b1JdevG6fVeb06rRN_Xhw,0,,,40/29 News,,newsguard_validated,
UC-bmMRSCFUgOmo7Jy_-2osg,0,,,blogsicilia,,newsguard_validated,
UC-cKNl4zXGEvzoQWgii0NjQ,0,,,Wayne “Newsninja2012” Dupree,,newsguard_validated,
UC-cYPtPHsK7le0G_nX8M2NA,0,,,Suffolk Gazette,GB,newsguard_validated,
UC-dmTM1R31S8uFgPmexxkNg,0,,,Decrypt,US,newsguard_validated,
UC-eYsy604erwAkG3EgP_JNw,0,,,WABE Archive,,newsguard_validated,
UC-excOuNV0q1_H72C1qaYcg,0,,,FOX21 News,US,newsguard_validated,
UC-f-EC3-yv-_Ok-m5Dd5akw,0,,,KGUN9,US,newsguard_validated,
UC-gOKwgu5_g9Pm1YBMb5G_A,0,,,Tes Magazine,GB,newsguard_validated,
UC-haXOxWKiH9iF1rIM5iDtw,0,,,Asheville Citizen Times,,newsguard_validated,
UC-idb36hJ03TyM8CMhSDhdQ,0,,,FrederickNewsPost,,newsguard_validated,
UC-jkFwXtlvglqqQUFvJNkvQ,0,,,UCSF Health ,US,newsguard_validated,
UC-nDa6eoeSk8xeb5UnNVp5g,0,,,JihadWatchVideo,,newsguard_validated,
UC-oA0kQQV1qmxWrXgTzM9rQ,0,,,Tulsa's News Pulse,US,newsguard_validated,
UC-oTA_XeeMcA-UgV-3Ey6dA,0,,,Affari Italiani,,newsguard_validated,
UC-rZbNdZSGa1Uan8aTj_SsQ,0,,,American Diabetes Association,US,newsguard_validated,
UC-skSIVB3n7EGIP6CRjy5BQ,0,,,Hans Tolzin,DE,newsguard_validated,
UC-wbUUytMNII9M-hF8U5IDA,0,,,Billy Penn,,newsguard_validated,
UC-yXuc1__OzjwpsJPlxYUCQ,0,Q8035308,mass media|news media|news website,WORLDSTARHIPHOP,US,newsguard_validated,
UC-zGV4r8Dtvj6hjr65SIDyg,0,,,CovertAction Magazine,US,newsguard_validated,
UC-zv2jqax3GKtLCjycy4FDg,0,,,Волинські Новини (ЗМІ),,newsguard_validated,
UC01cT8kXmbVH6-mzwaa2qIQ,0,,,Cancer Research UK,GB,newsguard_validated,
UC0307R10cgh8JGdVnAgggXQ,0,,,The London Economic,,newsguard_validated,
UC030WRHQCV3ZG5GZdjUCRbw,0,,,Momdotcom,US,newsguard_validated,
UC04PB4RDbCoWdVsrz1MeO_Q,0,,,,,newsguard_validated,
UC0572E3x0gs8-5oSWa4hlNw,0,,,Understanding Compassion,US,newsguard_validated,
UC07-dOwgza1IguKA86jqxNA,0,,,World Health Organization (WHO),,newsguard_validated,
UC08cPiDQ32Pu-mVOsW3ch4A,0,,,CalNewsNOW7 EXTRA,,newsguard_validated,
UC0CHrJSsDJk2DfrIY8xOD9Q,0,,,Sky & Telescope,,newsguard_validated,
UC0COu43Li7CUL2jseBpH9kQ,0,,,Center For American Progress,,newsguard_validated,
UC0CdhzMLYr7zl3xkVNrYL2w,0,,,Pappas Post,,newsguard_validated,
UC0DB1y2diqTXdlQEbuvZhNg,0,,,Lausitzer Rundschau Sport,DE,newsguard_validated,
UC0DJ3Z4ky7uAF8rIqrHTpmA,0,,,NCRonline,US,newsguard_validated,
UC0DOSW9TYOCLUA4HC3usuBQ,0,,,ForAmerica,,newsguard_validated,
UC0FQySGV55z0ZH9ROPetapQ,0,,,NewsWatch 12,US,newsguard_validated,
UC0FrCjet_5k9dLByr7oSvYg,0,,,PI-NEWS,,newsguard_validated,
UC0Fzc2zX9vWkrQ7x4yRUrNw,0,,,Gazette live,FR,newsguard_validated,
UC0GDU8v6JtuozYQqfjJN8bg,0,,,Paul-Ehrlich-Institut (PEI),DE,newsguard_validated,
UC0H7JADShpxWDjGQ4WhXPtQ,0,,,WTTW,US,newsguard_validated,
UC0HDtkhrvpjwF_FMD6GIC9g,0,,,ABC7 Sarasota,US,newsguard_validated,
UC0HuASskjV3jhgj2ONLc8VA,0,,,Environmental Working Group (EWG),,newsguard_validated,
UC0IXvMUUPeYNVGe88ieMDEg,0,,,Seventeen,US,newsguard_validated,
UC0KdXtOA0G7P9nd_bUxL5gA,0,,,Інтент,UA,newsguard_validated,
UC0LNhT_EogkGvlMR3ccqWTw,0,,,Marie Claire UK,GB,newsguard_validated,
UC0OdUmGeFxc9ceZBPHTE0dQ,0,,,katholisch.de,DE,newsguard_validated,
UC0Pf4wHC2MA5ZzdFch_mtpw,0,,,Passauer Neue Presse,DE,newsguard_validated,
UC0R0N538mji8FUlyE8JZmug,0,,,Prospect Magazine,GB,newsguard_validated,
UC0R9oJ9ulQYEu4Xqzb9nFTA,0,,,La Opinión,US,newsguard_validated,
UC0RhatS1pyxInC00YKjjBqQ,0,,,GeeksforGeeks,IN,newsguard_validated,
UC0SGrA2Y4-jPGvF4sv8HMJA,0,,,WZ • Wiener Zeitung,AT,newsguard_validated,
UC0Sp2RuaVn69DK_tqqIk8sA,0,,,Les Affaires,CA,newsguard_validated,
UC0WFms0xto8h5FXkbjz4mvA,0,,,Todd Starnes,US,newsguard_validated,
UC0ZAg1KNrZh8jo47Cj_ah4Q,0,,,Time,,newsguard_validated,
UC0ZsHHC_frpcqneDpMiteCQ,0,Q7957644,television station,WXII 12 News,US,newsguard_validated,
UC0bCUnP5RrkJZUtd3bBz6Kw,0,,,WPTV News - FL Palm Beaches and Treasure Coast,,newsguard_validated,
UC0bCu89KV0nzdFkK9Oz_l_w,0,,,WPLNradio,,newsguard_validated,
UC0bIRiJsmjpuhx3tVUepQgg,0,,,Texas Monthly,US,newsguard_validated,
UC0duMiBZmDlbUue0eqd0htw,0,,,KMTV 3 News Now,US,newsguard_validated,
UC0fTbhgouDMneMzSluKaXAA,0,Q4037100,mass media|news media|news website,Deadline Hollywood,United States,newsguard_validated,
UC0gFXBCSn7U2VwE5j0jO-Gg,0,,,TDN,FR,newsguard_validated,
UC0gI048KH8MB8PxrMMVPzjg,0,Q109649881,mass media|news media|news website|newspaper|online newspaper,Panamza,FR,newsguard_validated,
UC0m-dhh4_ytlREg63hTMbsw,0,,,The Federalist,,newsguard_validated,
UC0mhFb96qRjYqx4-AfnDvPA,0,,,nrwaktuelltv,DE,newsguard_validated,
UC0nPmL_egF5bW2oCeyjGIxw,0,,,NewsCenter1,,newsguard_validated,
UC0ntvHJfviqvUHzdGBgrKlA,0,,,Vimeo,US,newsguard_validated,
UC0o2fGIRVh9mlVU97dzTMwg,0,,,La Nuova Sardegna,IT,newsguard_validated,
UC0p5jTq6Xx_DosDFxVXnWaQ,0,Q180089,magazine|mass media,The Economist,GB,newsguard_validated,
UC0sPBv78fAj46b_AaU159qQ,0,,,Press Herald,US,newsguard_validated,
UC0sfnuCUaYV2twmfZDtXZng,0,,,Epoch Times Deutschland,DE,newsguard_validated,
UC0tpt2CeQz9WwtytclhJXPg,0,,,wweek,,newsguard_validated,
UC0u04Fuq2qLUmYK12rVXFfQ,0,,,Ballotpedia,US,newsguard_validated,
UC0uVZd8N7FfIZnPu0y7o95A,0,Q1454090,magazine|mass media,ReasonTV,US,newsguard_validated,
UC0yUJjLhBNzjFENJXhNzjPw,0,,,The Root Cause Reset with Dr. Serge,US,newsguard_validated,
UC0zIez_iBFIOvJumpyKm7yA,0,,,Decision Desk HQ,US,newsguard_validated,
