channel_id,channel_title,seed_label,wd_class,country,subscribers,videos,topics,url,description,verdict,note
UCB9WOAf7gaCLiFnB2R46TIw,Роман Цимбалюк,Roman Tzymbalyk,YouTuber|blogger|journalist,US,1480000,7454,Politics|Society,https://www.youtube.com/channel/UCB9WOAf7gaCLiFnB2R46TIw,"Всем привет! Меня зовут Роман Цимбалюк, я репортёр. Мой блог о текущем моменте ""двухсторонних отношений"" Украины и РФ. Почему в кавычках, потому что отношений давно нет, есть война. Война идет с 20 фе",ok,
UCYeHzWF_UKQlghuHuUmpzvg,Dylan Ratigan,Dylan Ratigan,journalist,,2250,29,Politics|Society,https://www.youtube.com/channel/UCYeHzWF_UKQlghuHuUmpzvg,People. Power. Money. Technology. Human Capital.,ok,
UCouRWyIYv3Vw0sYAga8Kl7w,David Thurton,David Thurton,journalist,,793,131,Society|Politics,https://www.youtube.com/channel/UCouRWyIYv3Vw0sYAga8Kl7w,David Thurton is a senior reporter in CBC's Parliamentary Bureau. He covers daily politics in the nation’s capital and specializes in environment and energy policy. Born in Canada but raised in Trinid,ok,
UCpFV_O4Afuk_W-kqJ9SmiEQ,龍崎孝の政治・時事チャンネル【DRAGON ROOM】,Takashi Ryuzaki,journalist,JP,4730,98,Knowledge|Politics|Society,https://www.youtube.com/channel/UCpFV_O4Afuk_W-kqJ9SmiEQ,政治ジャーナリスト/元TBS政治部長/元毎日新聞社記者 龍崎孝が「新たな情報発信」の場所としてYouTubeを始めます。「マスメディア離れ」が叫ばれる昨今。我々が目にする「ニュース」には真実の一部しか切り取られていないとも言われています。様々な制限からマスメディアでは「真実を伝えること」そして、全ての世代を満足させることは難しい中、Z世代から、高齢者、子育て中の主婦、バリバリに働いている男性・女性,ok,
UC9KnnsPALO7nmNNXSgHFHcg,Говорить Суханов,Aleksey Sukhanov,journalist,UA,1410000,949,Health|Society|Politics,https://www.youtube.com/channel/UC9KnnsPALO7nmNNXSgHFHcg,Найвідоміший ведучий України Олексій Суханов переходить з телебачення в YouTube і разом з командою колег створюють YouTube-проєкт «Говорить Суханов».  10 років  на телеканалі «Україна» виходило суспіл,ok,"talk/interview format, heavy human-interest"
UCOBNx5Pdw7FZkh2oQR3i9SQ,Jesse Lee Peterson,Jesse Lee Peterson,journalist|pundit,US,625000,6030,Politics|Society,https://www.youtube.com/channel/UCOBNx5Pdw7FZkh2oQR3i9SQ,Uniting the Races with Truth Instead of Dividing Them with Lies! We're also Rebuilding the Family by Rebuilding the Man!  LIVE from Los Angeles M-F 6-9a PT (8-11CT/9-noonET) Call-in 📞 to The Jesse Lee,ok,
UCuf2fJtPnlZBuQrY0jwhlFA,АЛЬТЕРНАТИВА,Q111441823,blogger|journalist,RU,187000,384,Politics|Society,https://www.youtube.com/channel/UCuf2fJtPnlZBuQrY0jwhlFA,"YouTube-канал «Альтернатива» является видеоприложением информационно-аналитического сайта «Альтернатива» (http://alternatio.org/). Поддержать ""Альтернативу"" Вы можете переведя любую сумму (рубли, евро",ok,
UCiyHr7yPmiAHhVHgv8XweKA,Yago Álvarez,Yago Álvarez Barba,journalist,ES,5260,45,Politics|Society|Television_program,https://www.youtube.com/channel/UCiyHr7yPmiAHhVHgv8XweKA,"Periodista especializado en economía en El Salto. Autor del libro ""Pescar el salmón. Bulos, narrativas y poder en la prensa económica"" (Capitán Swing, 2023). Vídeos de divulgación económica y desmonta",ok,
UCxboYmgoaORbApN45ON9tcA,ELY SALUDAR,Ely Saludar,columnist|journalist|pundit,PH,56700,692,Politics|Society,https://www.youtube.com/channel/UCxboYmgoaORbApN45ON9tcA,,ok,
UCt_8fuHUeGwkqdwFcQ3hEBg,Евгений Киселёв,Yevgeny Kiselyov,journalist,,535000,4514,Politics|Society,https://www.youtube.com/channel/UCt_8fuHUeGwkqdwFcQ3hEBg,"Я, Евгений Киселёв, всю жизнь проработал штатным сотрудником каких-то телекомпаний, государственных или частных. Надо мной всегда были их владельцы, начальники, какие-то кураторы – всех не перечесть. ",ok,
UCoBs2T-_IrGRHbmzCt3T5vw,Andy Livise,Andy Livise,journalist,,1520,86,Society|Politics,https://www.youtube.com/channel/UCoBs2T-_IrGRHbmzCt3T5vw,Periodista independiente.  Aquí encontrarás mis trabajos y otros videos pal' recuerdo. Perú. ,ok,
UCyboBQjLhgD5uROdc8Ayg4Q,Myrka Dellanos Show,Myrka Dellanos,journalist,US,11400,34,Religion|Lifestyle_(sociology)|Society|Politics,https://www.youtube.com/channel/UCyboBQjLhgD5uROdc8Ayg4Q,Emmy Award Winning Broadcast Journalist/ Follower of Jesus  / Teller of the Truth   Bienvenidos a mi nuevo canal! Estoy muy emocionada de poder tener este espacio donde puedo hablar la verdad sin ser ,false_positive,"faith and lifestyle channel, not news"
UClLU7R9-phS8CXAe5f4vmrQ,JESÚS MARTÍN MENDOZA ARRIOLA,Jesús Martín Mendoza Arriola,journalist,MX,117000,2022,Politics|Society|Lifestyle_(sociology),https://www.youtube.com/channel/UClLU7R9-phS8CXAe5f4vmrQ,"Periodista de Radio, Televisión y Prensa. En este canal encontrarás Noticias, Comentarios y Opiniones. ",ok,
UCQYT20m5oMRpLxjrujtXgzg,דנה ורון - Dana Varon,Dana Varon,journalist|pundit,IL,6300,431,Politics|Society,https://www.youtube.com/channel/UCQYT20m5oMRpLxjrujtXgzg,מגישת מהדורת הבוקר | ערוץ 14 תוכן יהודי לא מתנצל,ok,
UC-QGZ1DZTPfPV_-WZekRODw,Mateusz Lachowski - Korespondent PL,Mateusz Lachowski,journalist,PL,216000,502,Society|Politics,https://www.youtube.com/channel/UC-QGZ1DZTPfPV_-WZekRODw,"Jestem korespondentem wojennym, dziennikarzem i reżyserem.  Na tym kanale znajdziesz filmy pokazujące prawdę i rozmowy na ważne tematy dotyczące polityki zagranicznej.  Niezależność jest dla mnie kluc",ok,
UC7N4N58I5bw6PK222hxgOdw,gilotynaTV,Wojciech Boliński,journalist,,7460,273,Politics|Society,https://www.youtube.com/channel/UC7N4N58I5bw6PK222hxgOdw,"tu lecą głowy, to głos progresywno ludowy (a przynajmniej się stara)",ok,
UCA8J_Zc7a1XJDj8khpJfVlg,The JOHAN ALLERS Podcast,Johan Allers,journalist,NL,26100,456,Society|Politics,https://www.youtube.com/channel/UCA8J_Zc7a1XJDj8khpJfVlg,"Channel created by Johan Allers, a South African living abroad who remains deeply connected to his homeland. As a former foreign correspondent for the South African Broadcasting Corporation, Johan has",ok,
