stratum,tier,tier_reason,channel_id,channel_title,seed_label,wd_class,country,subscribers,videos,topics,url,description,verdict,note
tier1_topic,1,topic+title,UCpilKNqQxRBj6dwZKK44xHw,Videnskab․dk KLIP,Videnskab.dk,mass media|news media|news website|newspaper|online newspaper,DK,2670,250,Knowledge|Health|Society|Lifestyle_(sociology),https://www.youtube.com/channel/UCpilKNqQxRBj6dwZKK44xHw,"Hej! 👋  DU har fundet Videnskab.dk klip, hvor vi lægger spændende videoklip op om forskning i alt fra Solsystemet til psykologi 🔭👧  Du finder altid et link til vores artikler i vid",ok,borderline
tier1_topic,1,topic+title,UC7RQon_YwCnp_LbPtEwW65w,The London Standard,Evening Standard,newspaper,GB,356000,19894,Politics|Society,https://www.youtube.com/channel/UC7RQon_YwCnp_LbPtEwW65w,"Subscribe to The London Standard to stay connected to the very heart of London life, culture, and current affairs",ok,
tier1_topic,1,topic+title,UC1p7DHMMvpgkqu32H1USh7Q,Actu44,Actu44.fr,mass media|news media|news website|newspaper|online newspaper,FR,762,146,Politics|Society,https://www.youtube.com/channel/UC1p7DHMMvpgkqu32H1USh7Q,"Actu44 est la chaine vidéo du site:https://www.actu44.fr l'information indépendante en Loire-Atlantique. De la musique, toutes les musiques. Du Jazz, du classique, de la pop et de ",ok,
tier1_topic,1,topic,UCxy9pdKhihF_JfFNkkJkmkw,جريدة المال,Almal News,newspaper,EG,37700,3342,Knowledge|Society|Politics,https://www.youtube.com/channel/UCxy9pdKhihF_JfFNkkJkmkw,"جريدة ""المال"" هي صحيفة اقتصادية يومية مستقلة تصدر عن الشركة المصرية للتسويق والتوزيع، يرأس تحريرها الكاتب الصحفي حازم شريف، كما يصدر عنها بوابة المال الإلكترونية.  كما بدأت جريدة ا",ok,
tier1_topic,1,topic+title,UCKNT5nrVgFst48AXQAFuH1Q,infoLibre,infoLibre,newspaper,ES,45100,3019,Society|Politics,https://www.youtube.com/channel/UCKNT5nrVgFst48AXQAFuH1Q,[ Somos resistencia ],ok,
tier1_topic,1,topic+title,UCI8XeBXcahsbsR2XA9gIWoQ,DOXA | ДОКСА,DOXA,magazine|mass media|newspaper,RU,154000,914,Society,https://www.youtube.com/channel/UCI8XeBXcahsbsR2XA9gIWoQ,Независимое медиа из России. Новые видео 2 раза в месяц.  Поддержать нас финансово: https://doxa.team/act https://www.patreon.com/doxajournal https://www.youtube.com/channel/UCI8Xe,ok,
tier1_topic,1,topic,UCGsptS1u_Nz6-yIFBbzZK0g,Новости Тукаевского района,Q126727802,newspaper,,1070,208,Lifestyle_(sociology)|Society,https://www.youtube.com/channel/UCGsptS1u_Nz6-yIFBbzZK0g,Интересные видео о жизни в Тукаевском районе смотрите у нас!,ok,
tier1_topic,1,topic+title,UC97O_ce8Rm7rE0hjE82joaA,OBOZ UA,OBOZ.UA,mass media|media company|news media|news website|newspaper|online newspaper,UA,422000,16718,Politics|Society,https://www.youtube.com/channel/UC97O_ce8Rm7rE0hjE82joaA,"ОBOZ.UA - простими словами про складні теми: економіка, політика, аналіз ключових подій на фронті, бізнес, технології, науку. Це канал, який розповідає тобі про ключові події дня т",ok,
tier1_topic,1,topic+title,UCxaPn-OJIG6FY2oM1TB0ZSw,Аsia-Plus TV,Asia-Plus,mass media|media company|news agency|news media,RU,371000,4426,Society,https://www.youtube.com/channel/UCxaPn-OJIG6FY2oM1TB0ZSw,1897125d-5825-4e7a-90aa-e02350adfa42 ,ok,
tier1_topic,1,topic,UC6ZYCxxt5wDvNbhjzyFSVKg,Η ΝΑΥΤΕΜΠΟΡΙΚΗ,Naftemporiki,newspaper,GR,187000,56986,Politics|Society,https://www.youtube.com/channel/UC6ZYCxxt5wDvNbhjzyFSVKg,Ειδήσεις από την Ελλάδα και τον Κόσμο με την εγκυρότητα της ΝΑΥΤΕΜΠΟΡΙΚΗΣ.,ok,
tier1_topic,1,topic+title,UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,Aaj Tak,mass media|news media|television channel,IN,75600000,739297,Society,https://www.youtube.com/channel/UCt4t-jeY85JegMlZ-E5UWtA,"Watch Aaj Tak Live TV and stay tuned for all the breaking news in Hindi ! Aaj Tak is India's leading Hindi News Channel. Aaj Tak News channel covers latest news in Politics, Entert",ok,
tier1_topic,1,topic,UCxwiLCHJh-UmXyFFVR_BEKg,Ahramweekly,Al-Ahram Weekly,newspaper,,131,79,Society|Lifestyle_(sociology),https://www.youtube.com/channel/UCxwiLCHJh-UmXyFFVR_BEKg,,ok,
tier1_topic,1,topic+title,UCi1DyiNlqBF6myQeFujJeww,Jewish Insider,Jewish Insider,mass media|news media|news website,US,997,149,Politics|Society,https://www.youtube.com/channel/UCi1DyiNlqBF6myQeFujJeww,,ok,
