row_number,domain,brand_name,current_url,issue_type,corrected_url
352,trtdeutsch.com,TRT Deutsch,https://www.youtube.com/trtdeutsch,BARE_NAME,https://www.youtube.com/@TRTDeutsch
355,nrw-aktuell.tv,nrw-aktuell.tv,https://www.youtube.com/nrwaktuelltv,BARE_NAME,https://www.youtube.com/@nrwaktuelltv
528,qactus.fr,L'Informateur,https://www.youtube.com/watch?v=p8XlG8aen_4,VIDEO_URL,https://www.youtube.com/@qactuslinformateur.9299
529,qactusinformateur.wordpress.com,L'Informateur,https://www.youtube.com/watch?v=p8XlG8aen_4,VIDEO_URL,https://www.youtube.com/@qactuslinformateur.9299
829,lesdeqodeurs.fr,Les DéQodeurs ,https://www.youtube.com/playlist?list=PLRQmtEOmt7KKZkwCzXpLmXCqNZUMVM0Ez,PLAYLIST_URL,https://www.youtube.com/@LesDeqodeursPlus
956,euractiv.fr,Euractiv,https://www.youtube.com/euractiv,BARE_NAME,www.youtube.com/@Euractiv
1024,arretsurimages.net,Arrêt sur Images ,https://www.youtube.com/arretsurimagesmedia,BARE_NAME,https://www.youtube.com/c/Arretsurimages
1120,andreaskalcker.com,AndreasKalcker,https://dioxitube.com/,NON_YOUTUBE,https://www.youtube.com/@andreaskalcker2537
1195,evangelisch.de,evangelisch.de,https://www.youtube.com/EvangelischDE,BARE_NAME,https://www.youtube.com/@EvangelischDE
1283,saronnonews.it,Saronno News,https://www.youtube.com/playlist?list=PLUarR3Z69ulnJO0HPcSrzPilVDo0ZAh-6,PLAYLIST_URL,NONE
1564,themonthly.com.au,The Monthly,https://www.youtube.com/watch?v=47bAn7x5lRc,VIDEO_URL,https://www.youtube.com/@themonthly
1668,greekreporter.com,Greek Reporter,https://www.youtube.com/GreekReporter,BARE_NAME,https://www.youtube.com/@greekreporter
1681,dailyliberal.com.au,The Daily Liberal,https://au.linkedin.com/company/daily-liberal,NON_YOUTUBE,NONE
1701,chaser.com.au,The Chaser,https://www.youtube.com/chaser,BARE_NAME,https://www.youtube.com/@chaserhq
1718,elle.com.au,Elle Australia,https://www.youtube.com/elleaus,BARE_NAME,https://www.youtube.com/@ElleAus
1766,thestar.com,,https://www.youtube.com/torontostar,BARE_NAME,https://www.youtube.com/@torontostar
1808,calgary.citynews.ca,CityNews Calgary,https://youtube.com/citynews,BARE_NAME,https://www.youtube.com/@CityNews
1809,660citynews.com,CityNews Calgary,https://youtube.com/citynews,BARE_NAME,https://www.youtube.com/@CityNews
1820,vancouver.citynews.ca,CityNews Vancouver,https://www.youtube.com/citynews,BARE_NAME,https://www.youtube.com/@CityNews
1821,citynews1130.com,CityNews Vancouver,https://www.youtube.com/citynews,BARE_NAME,https://www.youtube.com/@CityNews
1823,toronto.citynews.ca,CityNews Toronto,https://www.youtube.com/citynews,BARE_NAME,https://www.youtube.com/@CityNews
1824,680news.com,CityNews Toronto,https://www.youtube.com/citynews,BARE_NAME,https://www.youtube.com/@CityNews
1857,westernstandard.news,,https://www.youtube.com/WesternStandard,BARE_NAME,https://www.youtube.com/@WesternStandard
1858,westernstandardonline.com,,https://www.youtube.com/WesternStandard,BARE_NAME,https://www.youtube.com/@WesternStandard
1861,globalresearch.ca,Centre for Research on Globalization,https://www.youtube.com/globalresearchtv,BARE_NAME,NONE
