channel_id,label,wd_item,wd_class,country,language,tier_reason
UC-30BJyAAObw1irWxu6IPkw,Meduza,Q18340732,mass media|news media|news website,Latvia,English,topic+title
UC-8vX3uI2oGQ7qra6hNBwug,Teleshkronja Post,Q60766946,mass media|news media|news website|newspaper|online newspaper,Kosovo,Albanian,topic+title
UC-AY02VQo-F_trSeTKUu_QQ,Sakal,Q7402792,newspaper,India,Marathi,topic+title
UC-DmGAqCEZMypBwgMncP1tQ,NEWS Post seven,Q11234829,mass media|news media|news website,Japan,,topic
UC-FB5CRs-XUNMdDDphQUDEA,Podnews,Q108604514,mass media|news media|news website,,English,topic+title
UC-NrL-C9NpTC_pDhg6LIbTQ,Democrat TV,Q95963202,mass media|news media|news website|newspaper|online newspaper,,,topic
UC-SJ6nODDmufqBzPBwCvYvQ,CBS This Morning,Q2784108,mass media|news media|news program,,,topic+title
UC-qmVwrNHRUd-8oGJ6hbTfg,NODAL,Q121505421,mass media|news media|news website|newspaper|online newspaper,Argentina,Spanish,topic+title
UC0-dB4QNh4mRSNkhumn2Rtg,Telegraf,Q119859727,mass media|media company|news media|news website|newspaper|online newspaper,Ukraine,Russian,topic+title
UC0BrAJjGnpEyT5iJt1CiKwQ,The Pioneer,Q140356960,mass media|news media|news website|newspaper|online newspaper,Germany,German,topic+title
UC0PB3B6ApnZmm5_gds61B1g,NavGujarat Samay,Q24912062,newspaper,India,Gujarati,topic+title
UC0ZB_2l592dPek9tl0CFFBg,LiFO,Q61989571,magazine|mass media|news media|newspaper,Greece,Greek,topic+title
UC0g4NqLDoes2LVVp2mh3G7Q,Bihor Info,Q139972680,mass media|news media|news website|newspaper|online newspaper,Romania,Romanian,topic+title
UC0h6XiZoEAsdsZqNpVFtdvA,Cuban News Agency,Q137994679,mass media|media company|news agency|news media,Cuba,,topic
UC0jDU9VRITdZQsFP0q5FPrg,Interfax-Ukraine,Q2448686,mass media|media company|news agency|news media,Ukraine,,topic
UC0jVU-mK53vDQZcSZB5mVHg,Hellenic Broadcasting Corporation,Q1145059,public broadcaster,Greece,,topic
UC0pxcvmPndail7i26y2K0bg,Pskov Gubernia,Q19860281,newspaper,,Russian,topic
UC0sr7HZLNuxhB_okngeOweA,Kabar,Q16988534,mass media|media company|news agency|news media,Kyrgyzstan,Turkish,topic
UC10k-NvWs2E6jvXoM_nlF_A,Roma Press,Q107006179,mass media|media company|news agency|news media,North Macedonia,Romani,topic+title
UC14uNDCzwhcbA-qWYBkging,ALAU.KZ,Q136468944,mass media|media company|news agency|news media|news website,Kazakhstan,Russian,topic
UC1Lcash1pIZ2aiIavB2JXtg,HaKol HaYehudi,Q16129918,mass media|news media|news website|newspaper|online newspaper,Israel,,topic
UC1_JSuk0BSA_FWzSvMsezGg,God TV,Q826862,mass media|news media|news website|television station,United States,English,topic+title
UC1gKP9gOrwLeO4MyQ1zPYog,El Zenit,Q140381419,mass media|news media|news website|newspaper|online newspaper,Mexico,Spanish,topic+title
UC1kcTyykNZVYE9LajEA8eLw,Q137830699,Q137830699,newspaper,Germany,German,topic
UC1oOl2GQHgORlO6nZwxTrKg,Daily News Egypt,Q5209324,newspaper,Egypt,English,topic+title
UC1p7DHMMvpgkqu32H1USh7Q,Actu44.fr,Q139068510,mass media|news media|news website|newspaper|online newspaper,France,French,topic+title
UC1s8esGgSMe2Fbxe6Bnpm6w,Khoj Samachar,Q138528449,mass media|news media|news website,Nepal,,topic+title
UC1v_dekbxqgQjBQ2fg39uBg,European Radio for Belarus,Q1374265,mass media|news media|radio station,Poland,,topic
UC1zYGo1jIIjMVDTLL3dydow,Sankei Shimbun,Q1197261,newspaper,Japan,Japanese,topic
UC27KdqL8GCxqXgurmGpkb7g,DeSmog,Q5244089,mass media|news media,,,topic+title
UC28hcmMG3TJv60Byo528VVg,Niconico News,Q11324223,mass media|news media|news website,Japan,,topic
UC2CoZtMc68lhBrupCOIvllw,The Insider,Q48940439,mass media|news media|news website,Russia,English,topic+title
UC2J3olQxMEQLEmpzisRVzpg,The Palestine Chronicle,Q109873519,mass media|news media|news website|newspaper|online newspaper,United States,English,topic+title
UC2M61YK4ntt9iK-23XhDwcw,United Daily News,Q697153,mass media|news media|news website|newspaper|online newspaper,Taiwan,Traditional Chinese,topic
UC2P4BOQlye13d9l0Cl-kTTg,Hong Kong China News Agency,Q15956559,mass media|media company|news agency|news media,People's Republic of China,,topic
UC2PjztxRGqVJtm0tGR3mXTg,Africaguinee,Q136719999,mass media|news media|news website|newspaper|online newspaper,Guinea,French,topic+title
UC2QuSFgnIeiBR9p0_Ym_6Pg,WHTM-TV,Q7950450,mass media|media company|news agency|news media|television station,United States,,topic+title
UC2TuODJhC03pLgd6MpWP0iw,SET News,Q7389900,mass media|news media|television channel,Taiwan,,topic
UC2VmWn8dAqkzlQqvy02E1PA,FTV News,Q5427254,mass media|news media|television channel|television station,Taiwan,,topic
UC2XAmdUgYy23fkg5nC6Spag,Súbela Radio,Q17462578,mass media|news media|news website|radio station,Chile,Spanish,topic+title
UC2Ya1zL54cL7CkluxqJd6FQ,Q136385479,Q136385479,mass media|media company|news agency|news media,Brazil,,topic
UC2aVivDVNhpNN_AsMcb0V8A,Aram News,Q139898682,mass media|news media,,Arabic,topic+title
UC2ce7ocIIs9NstcRt4Jolhg,SpazioCrypto,Q140420005,mass media|news media|news website|newspaper|online newspaper,Italy,French,topic+title
UC2d64ZrPrGan3GYll6N0y5w,coolloud web (Social movement),Q10502295,mass media|news media|news website,,,topic+title
UC2hbw0O8Z6v0KHjVcT0XfsQ,Berria,Q827097,newspaper,Spain,Basque,topic
UC2lCFhJIC4adt_oP1dwSOVg,Aktuality.sk,Q52162279,mass media|news media|news website|newspaper|online newspaper,Slovakia,Slovak,topic+title
UC2liaNc5y50YBVjgXiQxdHQ,The Cradle,Q135975371,mass media|news media|news website|newspaper|online newspaper,,Turkish,topic+title
UC2s4wNkGb731EjS27zi_hNw,Christian Daily,Q116982840,mass media|news media|news website|newspaper|online newspaper,Taiwan,Standard Taiwanese Mandarin,topic
UC2tU3x2rm9ppdaGWiLYxIDA,Mash,Q48954641,mass media|news media|news website|newspaper|online newspaper,Russia,,topic+title
UC2wnjHTgcoNHOr1qegeFGsg,Q117257266,Q117257266,mass media|news media,Norway,Norwegian,topic
UC315KbRo_fiQ9fbaVUhEK0Q,MalaysiaNow,Q113653257,mass media|news media|news website|newspaper|online newspaper,Malaysia,English,topic+title
UC32q96QZ3bdS1bHUaP0hgBg,Real Digital,Q140500382,mass media|news media|news website|newspaper|online newspaper,Kazakhstan,Russian,topic+title
UC34JNOAjkpx4WLXKSRnUIwA,Zerkalo.io,Q108001153,mass media|news media,,,topic
UC35KuZBNIj4S5Ls0yjY-UHQ,G News Network,Q5013089,mass media|news media|news program|television channel|television station,Pakistan,,topic
UC35_7IUmatNefk6Wtt2-AtQ,Dzen,Q29223522,mass media|news media|news website,Russia,,topic
UC372QkR3fwJS1exiI1NTUvw,Meydan TV,Q23817378,mass media|news media|news website,Azerbaijan,,topic+title
UC3G-45OJY0VyLmlXMeFBOHw,Akhbar el-Yom,Q4116122,newspaper,Egypt,Arabic,topic+title
UC3GHKfZDKIei3_OAGNZunNA,The Daily Manila Shimbun,Q50552435,newspaper,,,topic+title
UC3GO3q3wSxJ21M9LQa8Hg-w,Live Punjabi TV,Q140501959,mass media|news media,India,,topic+title
UC3NR2hsIC6g9bQ-s4Eba6IA,Lokshahi,Q141368310|Q4115189,newspaper,Malta,Marathi,topic+title
UC3XTzVzaHQEd30rQbuvCtTQ,Last Week Tonight with John Oliver,Q16735585,mass media|news media|news program,,,topic
UC3cF5zwsHbX0noh3jMTVlYQ,Mixani tou Xronou,Q132181298,mass media|news media|news website|newspaper|online newspaper,Greece,Greek,topic
UC3cntnJoRiiLaZ7dZwTTQ8A,Militarnyi,Q12164155,mass media|news media|news website|newspaper|online newspaper,Ukraine,Polish,topic+title
UC3njZ48-FDxLleBYaP0SZIg,The Hindu,Q926175,newspaper,India,English,topic+title
UC3oWNZqcVA21Ab7lnwWGcOQ,Naya Patrika,Q25226694,newspaper,Nepal,Nepali,topic+title
UC47PT9tQ-onpq37O6fVZBIg,Youth Daily News,Q15903537,media company|newspaper,Taiwan,,topic+title
UC47WI-kZXFf0H_f7pvaNCEQ,Tuổi Trẻ,Q7853413,newspaper,,Vietnamese,topic+title
UC48mLXk1ASg1EQbaS3MheWQ,Valor Econômico,Q958931,mass media|newspaper,Brazil,,topic+title
UC4KnMZaxcv1KZDAJsgHXcOA,LRT televizija,Q1550538|Q1635809,public broadcaster|television station,Lithuania,,topic+title
UC4NQG2u8P7t29T3aSxmGrTQ,Metametrica,Q125791753,mass media|news media|news website|newspaper|online newspaper,,,topic+title
UC4XW1c0v7vZkO8OQJEfOLOg,iefimerida.gr,Q105590147,mass media|news media|news website|newspaper|online newspaper,Greece,Greek,topic+title
UC4bTRXU-ycVU516_pZbKG4g,Gript,Q64398383,mass media|news media,,,topic+title
UC4bokYuSrVGpI6_WYv7Gdbw,The News Lens,Q24850576,mass media|newspaper,Taiwan,English,topic+title
UC4p_I9eiRewn2KoU-nawrDg,The Straits Times,Q498921,newspaper,Singapore,English,topic+title
UC4zuSGeNrVOIvlo8-qaFlSQ,The Waxahachie Sun,Q107723017,newspaper,United States,English,topic+title
UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,Q40469,mass media|media company|news agency|news media,United States,,topic+title
UC52ln4mWFbs3hOL85_iA9Ww,The Hub,Q114278066,mass media|news media|news website,Canada,English,topic+title
UC5BMIWZe9isJXLZZWPWvBlg,Kompas TV,Q6428601,mass media|news media|television station,Indonesia,,topic
UC5E-lqm0hYixrY61GAjXIdw,Tageblatt,Q461344,newspaper,Luxembourg,French,topic+title
UC5LqfXvhYZsaJ1uz3AcSvpw,Nguoi Viet Daily News,Q7022716,newspaper,United States,Vietnamese,topic+title
UC5MwBnaH11q1nO2r4hiv5BQ,INSIDE,Q65049758,mass media|news media|news website,,,topic+title
UC5Q9jbF9A2dW-sPLl4rREkw,haber365.com.tr,Q107020245,mass media|news media|news website|newspaper|online newspaper,Turkey,Turkish,topic+title
UC5R89CNV6EE9ruwuEFRcOcw,Judicial and Legal Newspaper,Q12158571,mass media|news media|news website|newspaper|online newspaper,,,topic
UC5SzOUQP34uMRMY3CdIWc4Q,The Christian Recorder,Q104843053,mass media|newspaper,United States,English,topic+title
UC5TOFhyb_LxL2VG_Zenhpzw,Thai Public Broadcasting Service,Q2603792,mass media|public broadcaster|television channel,Thailand,,topic+title
UC5UwzkI8NlcDHgrRkVBkR5Q,Proekt,Q105301670,mass media|news media|news website|newspaper|online newspaper,Russia,English,topic
UC5VbpPF37ARpk9t5l_TJc8w,Kankokeizai News,Q11630527,newspaper,,,topic
UC5iLnYoF4Ryb63YdGD9RfWQ,Australian Broadcasting Corporation,Q781365,public broadcaster,Australia,,topic
UC5l18oylJ8o7ihugk4F-3nw,PULSE HK,Q136677336,mass media|news media|news website|newspaper|online newspaper,,Cantonese,topic+title
UC5nwNW4KdC0SzrhF9BXEYOQ,TVBS News,Q7672150,mass media|news media|television channel|television station,Taiwan,,topic+title
UC5rVi7GRsGLGNK2T2JzwoFA,Belarusian section of Radio Free Europe/Radio Liberty,Q13028748,mass media|news media|news website|newspaper|online newspaper|radio station,,Belarusian,topic
UC5sPqti8bakMgz5T5u6_o6A,Malanka Media,Q110917676,mass media|news media,Belarus,Russian,topic+title
UC61reKB-JvsnWGwmsGN6deA,Ma'an News Agency,Q2000342,mass media|media company|news agency|news media,Palestine,Arabic,topic
UC68VHcQS5x-WNFmf5cAFtgg,VTC News,Q108492472,mass media|news media|news website|newspaper|online newspaper,Vietnam,,topic+title
UC6AG81pAkf6Lbi_1VC5NmPA,TBS News DIG,Q16143608,mass media|news media|news website|newspaper|online newspaper,Japan,,topic+title
UC6BENb97B-9QXIOCjbW9Lvw,Sai Gon Giai Phong,Q7399786,newspaper,,Vietnamese,topic+title
UC6Ndavd7pNuwiFmpXEFAwEw,Plovdiv24.bg,Q140312694,mass media|news media|news website|newspaper|online newspaper,Bulgaria,Bulgarian,topic+title
UC6RJ7-PaXg6TIH2BzZfTV7w,Times Now,Q7806547,mass media|news media,India,English,topic+title
UC6W8rnMBwnzioz-3-8jH0-w,The Citizen,Q2750599,newspaper,South Africa,English,topic+title
UC6Ye6MKEFPjpxnaTXLeBRiA,Jiji Press,Q1688974,mass media|media company|news agency|news media,Japan,,topic
UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS News Hour,Q7118447,mass media|news media|news program,United States,American English,topic+title
UC6ZYCxxt5wDvNbhjzyFSVKg,Naftemporiki,Q598237,newspaper,Greece,Greek,topic
UC6dDeJDRIlCjcMScJ2nLXWA,MediaZona,Q28135463,mass media|news media|news website,Russia,English,topic:alt
UC6o-wWU-v2ClFMwougmK7dA,BBC Newsnight,Q25869,mass media|news media|news program,,English,topic+title
UC6ovWEVhYXgT3kkdc4gsdhA,Belarusian section of Radio Free Europe/Radio Liberty,Q13028748,mass media|news media|news website|newspaper|online newspaper|radio station,,Belarusian,topic:alt
UC6rYUPNu9Te_c_q1NJ-49BA,Q135208026,Q135208026,mass media|media company|news media|news website|newspaper|online newspaper,Romania,,topic
UC70w9yuRtx-OQ5nv38rKwMw,The Harrisonburg Citizen,Q110875993,mass media|news media|news website,United States,English,topic+title
UC763IzqFivb2qZMrXH0JiXw,NUR.KZ,Q98046055,mass media|media company|news agency|news media,Kazakhstan,,topic:alt
UC7DDcxd92wR0LzlMKIcHDAA,Show Haber,Q6105489,mass media|news media|news program,,,topic+title
UC7DjcEEX7zUSvS3IWWX_nmw,Arutz Sheva,Q716861,mass media|media company|news media|news website|newspaper|online newspaper|radio station,Israel,English,topic+title
